Valle Verde Inn,Lima,4.79617,78.9851,111111111111111111111111111111
Vista Hermosa Hotel,Lima,2.03366,144.359,111111111111111111111111111111
Valle Verde Inn,Sao Paulo,4.84508,97.5101,111111111111111111111111111111
Hotel Sol Dorado,Lima,3.61357,63.7017,111111111111111111111111111111
Resort Las Americas,Arequipa,4.65754,176.616,111111111111111111111111111111
EcoLodge Imperial,Cusco,4.04167,100.77,111111111111111111111111111111
Hotel Sol Dorado,Lima,3.74049,109.666,111111111111111111111111111111
Central Boutique,Arequipa,3.71668,160.121,111111111111111111111111111111
Hostal El Viajero,Lima,3.55378,170.065,111111111111111111111111111111
Resort Las Americas,Lima,1.86927,139.578,111111111111111111111111111111
Resort Las Americas,Buenos Aires,2.66678,116.98,111111111111111111111111111111
Hostal El Viajero,Buenos Aires,3.62742,152.002,111111111111111111111111111111
Resort Las Americas,Cusco,2.0927,113.647,111111111111111111111111111111
Mirador Suites,Piura,3.96887,66.6062,111111111111111111111111111111
Andina Royal Resort,Lima,3.65006,83.8143,111111111111111111111111111111
Hotel Sol Dorado,Arequipa,3.73582,83.7351,111111111111111111111111111111
Hotel Sol Dorado,Cusco,1.979,68.8462,111111111111111111111111111111
Hostal El Viajero,Lima,1.69266,83.6091,111111111111111111111111111111
Central Boutique,Lima,4.41598,163.158,111111111111111111111111111111
Resort Las Americas,Arequipa,2.15041,68.4087,111111111111111111111111111111
Andina Royal Resort,Arequipa,1.98602,137.645,111111111111111111111111111111
Andina Royal Resort,Santiago,1.41743,152.115,111111111111111111111111111111
Valle Verde Inn,Cusco,3.29534,67.3271,111111111111111111111111111111
Valle Verde Inn,Sao Paulo,3.24237,192.588,111111111111111111111111111111
Andina Royal Resort,Lima,4.48013,70.9761,111111111111111111111111111111
Grand Plaza Hotel,Lima,2.48841,131.78,111111111111111111111111111111
Hostal El Viajero,Cusco,2.41113,187.286,111111111111111111111111111111
Valle Verde Inn,Arequipa,3.57267,108.842,111111111111111111111111111111
Grand Plaza Hotel,Piura,4.93015,55.0678,111111111111111111111111111111
Mirador Suites,Arequipa,1.24511,58.7732,111111111111111111111111111111
Hotel Sol Dorado,Buenos Aires,1.77433,175.713,111111111111111111111111111111
Hotel Sol Dorado,Lima,1.01809,162.78,111111111111111111111111111111
EcoLodge Imperial,Lima,1.43147,50.0567,111111111111111111111111111111
Resort Las Americas,Arequipa,1.9916,170.348,111111111111111111111111111111
Mirador Suites,Buenos Aires,4.77448,173.489,111111111111111111111111111111
Hotel Sol Dorado,Lima,1.42904,107.518,111111111111111111111111111111
Andina Royal Resort,Bogota,3.89592,59.3947,111111111111111111111111111111
Grand Plaza Hotel,Lima,2.14115,81.9016,111111111111111111111111111111
Valle Verde Inn,Lima,3.45944,55.1059,111111111111111111111111111111
